country,sex,year,ASIRsmooth
Israel,1,2002,4.124326567
Israel,1,2003,4.426453573
Israel,1,2004,4.580248102
Israel,1,2005,4.687267929
Israel,1,2006,4.819442301
Israel,1,2007,4.960843482
Israel,1,2008,5.116486575
Israel,1,2009,5.391451054
Israel,1,2010,5.717514579
Israel,1,2011,5.938067934
Israel,1,2012,6.021498391
Israel,1,2013,6.040310826
Israel,1,2014,5.996924601
Israel,1,2015,5.886692964
Israel,1,2016,5.704454855
Israel,1,2017,5.454193533
Italy,1,2003,3.59970345
Italy,1,2004,3.614337092
Italy,1,2005,3.852186052
Italy,1,2006,4.439882294
Italy,1,2007,4.892483312
Italy,1,2008,4.52940996
Italy,1,2009,4.623878504
Italy,1,2010,5.621424468
Italy,1,2011,6.177928114
Italy,1,2012,6.627775368
Italy,1,2013,6.956897359
Italy,1,2014,6.642906856
Italy,1,2015,5.876420869
Italy,1,2016,5.816852226
Italy,1,2017,6.153315834
Japan,1,1980,0.967717639
Japan,1,1981,1.075866595
Japan,1,1982,1.160797583
Japan,1,1983,1.223442755
Japan,1,1984,1.267156709
Japan,1,1985,1.285032476
Japan,1,1986,1.28621439
Japan,1,1987,1.275161477
Japan,1,1988,1.25943711
Japan,1,1989,1.24260115
Japan,1,1990,1.229959149
Japan,1,1991,1.231386669
Japan,1,1992,1.253510918
Japan,1,1993,1.283674162
Japan,1,1994,1.32273004
Japan,1,1995,1.369379843
Japan,1,1996,1.440004654
Japan,1,1997,1.508520355
Japan,1,1998,1.538147281
Japan,1,1999,1.557431963
Japan,1,2000,1.547141943
Japan,1,2001,1.546117463
Japan,1,2002,1.562655451
Japan,1,2003,1.62152402
Japan,1,2004,1.710175967
Japan,1,2005,1.886044917
Japan,1,2006,2.081725092
Japan,1,2007,2.249280924
Japan,1,2008,2.418902926
Japan,1,2009,2.559554391
Japan,1,2010,2.726581604
Japan,1,2011,2.900911127
Japan,1,2012,3.081186001
Japan,1,2013,3.269645907
Japan,1,2014,3.470966452
Japan,1,2015,3.682715059
Kuwait,1,1998,3.557128242
Kuwait,1,1999,3.640251183
Kuwait,1,2000,3.711617258
Kuwait,1,2001,3.72392319
Kuwait,1,2002,3.432890718
Kuwait,1,2003,2.770233399
Kuwait,1,2004,2.796337643
Kuwait,1,2005,3.457876653
Kuwait,1,2006,3.291104968
Kuwait,1,2007,2.784746724
Kuwait,1,2008,2.438348338
Kuwait,1,2009,2.73197269
Kuwait,1,2010,3.01424306
Kuwait,1,2011,2.726840988
Kuwait,1,2012,3.085386241
Kuwait,1,2013,3.799040925
Kuwait,1,2014,4.357597299
Kuwait,1,2015,4.739850775
Kuwait,1,2016,5.133074911
Kuwait,1,2017,5.532686212
Latvia,1,1983,1.052220923
Latvia,1,1984,0.891711564
Latvia,1,1985,0.788207101
Latvia,1,1986,0.73601557
Latvia,1,1987,0.722963468
Latvia,1,1988,0.788188872
Latvia,1,1989,0.883374754
Latvia,1,1990,0.957117172
Latvia,1,1991,1.010721358
Latvia,1,1992,0.984816439
Latvia,1,1993,0.945959401
Latvia,1,1994,0.91143129
Latvia,1,1995,0.882790279
Latvia,1,1996,0.861050213
Latvia,1,1997,0.871826208
Latvia,1,1998,0.902129082
Latvia,1,1999,0.937479346
